username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,hora_rep,followers_diff,clase
ClemsonSports,373,1,26315,1238,118777,289,21358,1.1428571428571428,1.1904761904761905,31.071428571428573,0.09523809523809523,0.23809523809523808,-26314,bot
ahouseofdust,661,0,225,41,35414,34,0,0.15384615384615385,0.057692307692307696,0.11538461538461539,0.0,0.057692307692307696,-225,bot
EmoDaBarber,3947,0,25,103,1754,0,2,0.02040816326530612,0.0,0.10204081632653061,0.0,0.12244897959183673,-25,bot
tisthecontinent,129,0,213,285,15118,2,268,0.14285714285714285,0.20408163265306123,0.40816326530612246,0.0,0.2653061224489796,-213,bot
AdamNikki2,1099,0,364,2556,119,2,64,0.058823529411764705,0.09803921568627451,0.6862745098039216,0.0,0.35294117647058826,-364,bot
ultramold,57,0,290,200,285,4,7,0.061224489795918366,0.061224489795918366,0.08163265306122448,0.0,0.14285714285714285,-290,bot
JhonSjbt,100,0,6,51,37,0,0,0.0,0.0,0.0,0.0,0.5,-6,bot
DanielGennaoui,6,0,19,47,2,0,0,0.0,11.0,4.0,3.0,1.0,-19,bot
aglaidashubina2,240,0,8,30,1327,0,0,0.0,0.0,0.0,0.0,1.0,-8,bot
therealgeish,39,0,441,209,9519,0,77,0.5681818181818182,0.06818181818181818,1.1136363636363635,0.022727272727272728,0.09090909090909091,-441,bot
DaiFay,179,0,20,26,1252,3,0,0.125,0.0,0.125,0.0,0.1875,-20,bot
karl_stine,218,0,29,59,3121,1,20,0.17391304347826086,0.08695652173913043,0.9565217391304348,0.0,0.17391304347826086,-29,bot
kikklelista,17,0,76,1121,3788,5,95,0.0,0.0,0.0,0.0,0.19047619047619047,-76,bot
Sumforall,104,0,1,7,307,0,27,0.09090909090909091,0.0,0.18181818181818182,0.0,0.8181818181818182,-1,bot
ChargerBoi502,61,0,81,216,3414,4,12,0.14285714285714285,0.0,0.5476190476190477,0.023809523809523808,0.19047619047619047,-81,bot
jackie_sill17,135,0,24,22,3250,0,0,0.0,0.0,0.0,0.0,1.0,-24,bot
Tonedezzy,51,0,861,812,42529,4,2093,0.02127659574468085,0.574468085106383,0.14893617021276595,0.1276595744680851,0.1702127659574468,-861,bot
MaxkMissez3,438,0,140,304,3870,3,6,0.09803921568627451,0.09803921568627451,0.11764705882352941,0.0,0.17647058823529413,-140,bot
unzhe,343,0,4,34,26,0,6,0.0,0.0,0.0,0.0,0.6666666666666666,-4,bot
