username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,followers_diff,clase
AdarrabYoussef,3.0,False,201,1521,617,0,50,0.25,0.0,3.25,0.0,-1320,human
AdelekeAmao,0.0,False,395,872,1586,0,23,0.0,0.0,0.0,0.0,-477,human
AdinaKrik,3.0,False,1127,1212,1338,16,91,0.5,0.0,8.0,0.0,-85,human
AdockoTaxy,104.0,False,526,1926,7218,0,70,0.4042553191489361,0.1489361702127659,2.042553191489361,0.0,-1400,bot
Adrian_ElTitan,10.0,True,1890765,193,2069,1326,723,7.0,10.0,280.8333333333333,1.0,1890572,human
AdrianaMacontre,15.0,False,433,424,2088,109,382,0.0,0.0,1.3,0.0,9,human
AdrianneCurry,13.0,True,284113,286,875,4174,1076,3.5,0.6666666666666666,18.166666666666668,0.0,283827,human
AdrienneWallace,10.0,False,1892,2005,28558,160,1768,0.0,0.0,0.6,0.0,-113,human
AdvInFamilyhood,19.0,False,4119,2253,29311,92,9921,0.0,0.5,0.625,0.0,1866,human
AdvSettings_,208.0,False,50,0,58126,23,0,0.0,0.0,0.0,0.0,50,bot
AdventuresinGa,32.0,False,2979,3572,705,74,584,0.0,0.0833333333333333,0.25,0.0,-593,human
AfAmEducation,13.0,True,34208,698,34440,673,8675,0.4,1.2,2.2,0.0,33510,human
AfamDeluxo,10.0,False,56262,8351,356009,103,12910,25.125,97.75,283.25,18.125,47911,human
Africa_In_EN,64.0,False,40258,55,12830,215,622,0.25,0.75,1.5,0.0833333333333333,40203,human
AfroMindset,4.0,False,14218,14673,49538,102,4771,0.3333333333333333,3.6666666666666665,3.6666666666666665,0.0,-455,human
Agarus70,59.0,False,29,206,413,0,6,0.0,0.0,0.4242424242424242,0.0,-177,bot
Agent_Volkat,17.0,False,144,755,5467,3,841,0.1,0.0,1.9,0.0,-611,human
AghedoV,1.0,False,26,304,8,0,1,0.0,0.0,0.0,0.0,-278,human
AgnesCallamard,20.0,True,72304,2671,15689,782,364,19.166666666666668,45.16666666666666,95.66666666666669,5.5,69633,human
AheadOfTheNerve,8.0,False,1470,995,5380,10,426,0.7777777777777778,0.1111111111111111,1.0,0.0,475,human
AiDisability,18.0,False,2338,70,386,56,0,0.375,3.625,12.0,0.125,2268,human
AiPicovoice,145.0,False,419,354,367,11,115,0.0192307692307692,1.9230769230769231,2.230769230769231,0.0192307692307692,65,bot
